LoanRange, LoanAmount , BusinessName ,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,undisclosed,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA AVE,ANACONDA,MT,59711,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,400,4/3/20,Glacier Bank,MT - 00
a $5-10 million,undisclosed,BETTER BUSINESS SYSTEMS INC,175 North 27th Street Suite 800,BILLINGS,MT,59101,561330,Corporation,Unanswered,Unanswered,Unanswered,,348,4/14/20,Stearns Bank National Association,MT - 00
a $5-10 million,undisclosed,CTA ARCHITECTS ENGINEERS,13 N 23RD ST,BILLINGS,MT,59101,541310,Corporation,White,Male Owned,Non-Veteran,,423,4/3/20,Stockman Bank of Montana,MT - 00
a $5-10 million,undisclosed,ZOOT ENTERPRISES INC,555 Zoot Enterprises Ln,BOZEMAN,MT,59718,522320,Corporation,White,Unanswered,Unanswered,,278,4/3/20,Stockman Bank of Montana,MT - 00
a $5-10 million,undisclosed,MORRISON-MAIERLE INC,1 Engineering Place,HELENA,MT,59602,541330,Corporation,Unanswered,Unanswered,Unanswered,,269,4/13/20,First Interstate Bank,MT - 00
a $5-10 million,undisclosed,RICHARD G ANDERSON, 3424 US HWY 12E ,HELENA,MT,59601,236220,Sole Proprietorship,White,Male Owned,Non-Veteran,,354,4/7/20,First Interstate Bank,MT - 00
a $5-10 million,undisclosed,"MANN MORTGAGE, LLC",1230 Whitefish Stage Rd,KALISPELL,MT,59901,522292,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,4/9/20,First Interstate Bank,MT - 00
a $5-10 million,undisclosed,"CONSUMER DIRECT HOLDINGS, INC.",100 Consumer Direct Way,MISSOULA,MT,59808,621610,Corporation,White,Male Owned,Non-Veteran,,500,4/4/20,Bank of Montana,MT - 00
a $5-10 million,undisclosed,WESTERN MONTANA MENTAL HEALTH CENTER,1321 WYOMING ST,MISSOULA,MT,59801,813410,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,250,4/4/20,Glacier Bank,MT - 00
a $5-10 million,undisclosed,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY,MT,59270,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,383,4/27/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,"A.W.A.R.E., INC.",205 E Park Ave,ANACONDA,MT,59711,623210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500,4/27/20,Opportunity Bank of Montana,MT - 00
b $2-5 million,undisclosed,ST. LABRE INDIAN SCHOOL EDUCATIONAL ASSOCIATION,1000 Tongue River Rd,ASHLAND,MT,59003,611110,Non-Profit Organization,American Indian or Alaska Native,Male Owned,Non-Veteran,Y,335,4/10/20,First Community Bank,MT - 00
b $2-5 million,undisclosed,"BRIDGER STEEL, INC.",1558 Amsterdam Rd.,BELGRADE,MT,59714,423320,Corporation,White,Male Owned,Non-Veteran,,121,4/3/20,The Yellowstone Bank,MT - 00
b $2-5 million,undisclosed,AUTOMOTIVE & INDUSTRIAL DISTRIBUTORS OF BILLINGS,900 1st Ave North,BILLINGS,MT,59101,441310,Corporation,Unanswered,Unanswered,Unanswered,,225,4/3/20,Stockman Bank of Montana,MT - 00
b $2-5 million,undisclosed,COP CONSTRUCTION LLC,242 South 64th Street,BILLINGS,MT,59106,237310,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,,166,4/8/20,First Interstate Bank,MT - 00
