 LoanAmount ,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
" $149,800 ",BIG SKY,MT,59716,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,19,4/4/20,Glacier Bank,MT - 00
" $149,700 ",KALISPELL,MT,59901,332321,Corporation,Unanswered,Male Owned,Unanswered,,17,4/4/20,"First Montana Bank, Inc.",MT - 00
" $149,700 ",KALISPELL,MT,59903,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/4/20,Glacier Bank,MT - 00
" $149,530 ",BILLINGS,MT,59101,624221,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,4/16/20,First Interstate Bank,MT - 00
" $149,505 ",VICTOR,MT,59875,238990,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,14,4/15/20,First Interstate Bank,MT - 00
" $149,500 ",BIG SANDY,MT,59520,112111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/9/20,Glacier Bank,MT - 00
" $149,264 ",GREAT FALLS,MT,59405,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/28/20,American Bank Center,MT - 00
" $149,198 ",BILLINGS,MT,59102,722410,Partnership,Unanswered,Unanswered,Unanswered,,16,4/10/20,First Interstate Bank,MT - 00
" $149,138 ",BOZEMAN,MT,59718,339999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,4/16/20,First Interstate Bank,MT - 00
" $148,900 ",BOZEMAN,MT,59715,611620,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,38,4/4/20,Stockman Bank of Montana,MT - 00
" $148,800 ",HELENA,MT,59601,238220,Subchapter S Corporation,White,Female Owned,Unanswered,,16,4/4/20,Opportunity Bank of Montana,MT - 00
" $148,700 ",HELENA,MT,59601,441110,Corporation,Unanswered,Unanswered,Unanswered,,0,4/4/20,The Bank of Commerce,MT - 00
" $148,700 ",JACKSON,MT,59736,811310,Corporation,White,Unanswered,Unanswered,,20,4/7/20,Stockman Bank of Montana,MT - 00
" $148,600 ",MISSOULA,MT,59803,621340,Limited Liability Partnership,White,Female Owned,Unanswered,,14,4/3/20,Glacier Bank,MT - 00
" $148,600 ",LIVINGSTON,MT,59047,621320,Subchapter S Corporation,White,Male Owned,Unanswered,,13,4/6/20,American Bank,MT - 00
" $148,500 ",FORT BENTON,MT,59442,115310,Subchapter S Corporation,White,Male Owned,Non-Veteran,,10,4/6/20,Stockman Bank of Montana,MT - 00
" $148,500 ",HAMILTON,MT,59840,812320,Corporation,Unanswered,Female Owned,Unanswered,,35,4/9/20,Glacier Bank,MT - 00
" $148,400 ",BILLINGS,MT,59105,115116,Corporation,Unanswered,Unanswered,Unanswered,,15,4/5/20,Cache Valley Bank,MT - 00
" $148,300 ",HELENA,MT,59601,238990,Subchapter S Corporation,White,Female Owned,Non-Veteran,,14,4/4/20,Glacier Bank,MT - 00
" $148,200 ",CUT BANK,MT,59427,722513,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,27,4/4/20,Stockman Bank of Montana,MT - 00
" $148,100 ",BELGRADE,MT,59714,811191,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,4/5/20,Glacier Bank,MT - 00
" $148,082 ",GREAT FALLS,MT,59405,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4/14/20,First Interstate Bank,MT - 00
